Todos os resultados da Mega Sena | Rede Loteria,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2590,09/05/2023,2.0,12.0,28.0,36.0,43.0,48.0,0,,10058174
2589,06/05/2023,1.0,15.0,16.0,25.0,32.0,36.0,0,,10114510
2588,03/05/2023,9.0,13.0,22.0,31.0,57.0,58.0,0,,6188572
2587,29/04/2023,5.0,10.0,11.0,22.0,23.0,37.0,1,61056497.58,22405958
2586,26/04/2023,10.0,18.0,41.0,49.0,53.0,59.0,0,,18976371
2585,22/04/2023,14.0,26.0,34.0,36.0,43.0,59.0,0,,15775796
2584,19/04/2023,1.0,5.0,12.0,36.0,53.0,55.0,0,,11728138
2583,15/04/2023,2.0,20.0,27.0,30.0,52.0,59.0,0,,11404151
2582,12/04/2023,10.0,14.0,17.0,19.0,21.0,34.0,0,,7998216
2581,08/04/2023,14.0,17.0,32.0,36.0,39.0,60.0,1,46558149.5,16638895
2580,05/04/2023,3.0,4.0,13.0,29.0,36.0,43.0,0,,15011587
2579,01/04/2023,5.0,10.0,26.0,35.0,38.0,44.0,0,,9024153
2578,29/03/2023,37.0,39.0,47.0,50.0,59.0,60.0,2,37457585.34,23458048
2577,25/03/2023,12.0,18.0,22.0,31.0,44.0,50.0,0,,22247684
2576,22/03/2023,29.0,32.0,33.0,35.0,38.0,43.0,0,,19073385
2575,18/03/2023,4.0,12.0,14.0,41.0,46.0,53.0,0,,16466269
2574,16/03/2023,12.0,17.0,43.0,44.0,48.0,60.0,0,,10943693
2573,14/03/2023,6.0,26.0,32.0,35.0,37.0,49.0,0,,8331344
2572,11/03/2023,3.0,7.0,15.0,22.0,24.0,50.0,0,,11824218
2571,08/03/2023,9.0,18.0,33.0,38.0,41.0,51.0,0,,8389778
2570,04/03/2023,8.0,18.0,26.0,27.0,47.0,50.0,1,33139056.49,17805338
2569,01/03/2023,6.0,7.0,25.0,28.0,31.0,52.0,0,,10722677
2568,25/02/2023,16.0,22.0,29.0,35.0,38.0,49.0,0,,8072003
2567,23/02/2023,10.0,11.0,19.0,33.0,58.0,60.0,1,8548140.96,9482848
2566,18/02/2023,11.0,23.0,45.0,53.0,57.0,59.0,0,,8402771
2565,16/02/2023,9.0,13.0,25.0,39.0,46.0,54.0,3,17626625.69,15403141
2564,14/02/2023,7.0,8.0,14.0,19.0,32.0,45.0,0,,7442140
2563,11/02/2023,5.0,9.0,14.0,30.0,38.0,50.0,0,,10312963
2562,08/02/2023,6.0,12.0,32.0,44.0,51.0,57.0,2,76403943.65,39287828
2561,04/02/2023,19.0,22.0,37.0,44.0,51.0,56.0,0,,35889335
2560,01/02/2023,4.0,5.0,17.0,20.0,48.0,52.0,0,,30338448
